"open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
1684488060000,"0.001683","0.001684","0.001683","0.001684","972194",1684488119999,"1636.215043",17,"12541","21.119044"
1684488120000,"0.001683","0.001683","0.001683","0.001683","806872",1684488179999,"1357.965576",16,"271505","456.942915"
1684488180000,"0.001683","0.001683","0.001682","0.001683","293068",1684488239999,"493.062294",6,"121918","205.187994"
1684488240000,"0.001682","0.001682","0.001681","0.001682","1954739",1684488299999,"3287.829995",22,"642171","1080.131622"
1684488300000,"0.001682","0.001682","0.001679","0.001681","23909217",1684488359999,"40174.330842",153,"7512096","12624.768126"
1684488360000,"0.001681","0.001681","0.001680","0.001680","729599",1684488419999,"1225.733948",26,"7628","12.822668"
1684488420000,"0.001681","0.001681","0.001679","0.001680","2179279",1684488479999,"3661.127698",42,"854605","1436.328618"
1684488480000,"0.001680","0.001680","0.001679","0.001679","843488",1684488539999,"1416.642345",26,"425993","715.668240"
1684488540000,"0.001680","0.001680","0.001679","0.001680","188909",1684488599999,"317.314012",15,"135801","228.145680"
1684488600000,"0.001680","0.001682","0.001680","0.001682","6517671",1684488659999,"10956.104726",76,"3153273","5300.800796"
1684488660000,"0.001681","0.001682","0.001680","0.001680","1646614",1684488719999,"2767.806090",24,"1918","3.226076"
1684488720000,"0.001681","0.001681","0.001680","0.001680","1881098",1684488779999,"3161.276803",28,"1032163","1735.066003"
1684488780000,"0.001681","0.001681","0.001680","0.001681","468512",1684488839999,"787.421495",10,"321335","540.164135"
1684488840000,"0.001681","0.001681","0.001680","0.001680","134238",1684488899999,"225.613651",5,"93811","157.696291"
1684488900000,"0.001680","0.001681","0.001680","0.001680","531915",1684488959999,"893.976961",13,"359761","604.758241"
1684488960000,"0.001680","0.001681","0.001680","0.001681","158350",1684489019999,"266.109551",6,"81551","137.087231"
1684489020000,"0.001680","0.001682","0.001680","0.001681","1673154",1684489079999,"2812.509327",54,"1539853","2588.493529"
1684489080000,"0.001682","0.001682","0.001681","0.001682","351333",1684489139999,"590.615531",12,"24758","41.642956"
1684489140000,"0.001681","0.001682","0.001681","0.001681","110983",1684489199999,"186.564342",4,"1919","3.227758"
1684489200000,"0.001681","0.001683","0.001681","0.001683","2311465",1684489259999,"3887.830908",68,"2176481","3660.918189"
1684489260000,"0.001683","0.001683","0.001682","0.001683","1446495",1684489319999,"2434.438908",39,"1434318","2413.957194"
1684489320000,"0.001682","0.001683","0.001682","0.001682","2910678",1684489379999,"4897.723009",63,"1962613","3303.077679"
1684489380000,"0.001683","0.001683","0.001683","0.001683","1919",1684489439999,"3.229677",2,"1919","3.229677"
1684489440000,"0.001683","0.001683","0.001682","0.001682","2712084",1684489499999,"4561.830574",32,"114067","191.965980"
1684489500000,"0.001681","0.001683","0.001681","0.001682","3385375",1684489559999,"5694.066663",58,"3244021","5456.443958"
1684489560000,"0.001682","0.001683","0.001682","0.001683","75089",1684489619999,"126.301617",5,"1919","3.229677"
1684489620000,"0.001682","0.001683","0.001682","0.001683","59184",1684489679999,"99.576293",9,"28805","48.478815"
1684489680000,"0.001682","0.001683","0.001682","0.001683","253804",1684489739999,"426.900247",7,"1919","3.229677"
1684489740000,"0.001682","0.001683","0.001681","0.001681","3238974",1684489799999,"5446.577361",45,"16292","27.419436"
1684489800000,"0.001682","0.001682","0.001681","0.001681","3493656",1684489859999,"5874.138868",39,"1303132","2191.868024"
1684489860000,"0.001682","0.001682","0.001682","0.001682","15837",1684489919999,"26.637834",5,"15837","26.637834"
1684489920000,"0.001681","0.001682","0.001681","0.001682","145490",1684489979999,"244.580793",6,"12103","20.357246"
1684489980000,"0.001681","0.001681","0.001680","0.001680","889309",1684490039999,"1494.746678",18,"1919","3.225839"
1684490040000,"0.001680","0.001681","0.001680","0.001681","112416",1684490099999,"188.908625",6,"49745","83.621345"
1684490100000,"0.001680","0.001681","0.001680","0.001680","748849",1684490159999,"1258.368703",14,"302383","508.305823"
1684490160000,"0.001680","0.001681","0.001680","0.001680","319987",1684490219999,"537.787154",7,"208994","351.318914"
1684490220000,"0.001680","0.001681","0.001680","0.001681","375969",1684490279999,"631.629839",8,"1919","3.225839"
1684490280000,"0.001681","0.001682","0.001680","0.001682","3215810",1684490339999,"5406.055783",52,"2735592","4598.891204"
1684490340000,"0.001681","0.001682","0.001681","0.001681","284348",1684490399999,"478.005466",8,"16478","27.715996"
1684490400000,"0.001681","0.001682","0.001681","0.001681","3206242",1684490459999,"5392.640049",80,"2947247","4957.269454"
